Name,Height,Category,Source
Dev,171,[Other],[Us]
Pablo Picasso,,[Historical],[]
Fidel Castro,,[Historical],[]
Nelson Mandela,,[Historical],[]
Genghis Khan,,[Historical],[]
Hayao Miyazaki,,[Writers],[]
Che Guevara,,[Historical],[]
Jimi Hendrix,,[Music],[]
Marilyn Monroe,,[Acting],[]
Aristotle,,[Historical],[]
Marco Polo,,[Historical],[]
Harry Styles,,[Music],[]
Margot Robbie,,[Acting],[]
Jennifer Lawrence,,[Acting],[]
Taylor Swift,,[Music],[]
Madonna,,[Music],[]
Michael Phelps,,[Sports],[]
Usain Bolt,,[Sports],[]
Kevin Durant,,[Sports],[]
Roger Federer,,[Sports],[]
Lionel Messi,,[Sports],[]
Cristiano Ronaldo,,[Sports],[]
Leonardo da Vinci,,"[Scientists,Historical]",[]
Neil deGrasse Tyson,,"[Scientists,Influencers]",[]
Stephen Hawking,,[Scientists],[]
Charles Darwin,,"[Historical,Scientists]",[]
Isaac Newton,,"[Historical,Scientists]",[]
Stephen King,,[Writers],[]
Thomas Jefferson,,"[Presidents,Historical]",[]
Serena Williams,,[Sports],[]
Jackie Robinson,,[Sports],[]
Miley Cyrus,,[Music],[]
Zendaya,,[Acting],[]
Tom Holland,,[Acting],[]
Chris Pratt,,[Acting],[]
John Cena,,"[Acting,Sports]",[]
Bill Nye,,"[Scientists,Comedy,Influencers]",[]
Billie Eilish,,[Music],[]
Warren Buffett,,[Wealth],[]
Steve Carell,,"[Acting,Comedy]",[]
Emma Watson,,[Acting],[]
Conan O’Brien,,"[Acting,Comedy]",[]
Ryan Reynolds,,[Acting],[]
Nicki Minaj,,[Music],[]
Tom Brady,,[Sports],[]
Howie Mandel,,"[Acting,Comedy]",[]
Ariana Grande,,"[Music,Acting]",[]
Emma Stone,,[Acting],[]
Hugh Grant,,[Acting],[]
Ryan Gosling,,[Acting],[]
Jack Black,,"[Music,Influencers,Acting]",[]
Usher,,[Music],[]
Will Ferrell,,"[Acting,Comedy]",[]
Larry King,,[Acting],[]
Bruno Mars,,[Music],[]
Ozzy Osbourne,,[Music],[]
Ben Stiller,,"[Acting,Comedy]",[]
Mr. T,,[Acting],[]
Gordon Ramsay,,"[Acting,Influencers]",[]
Shakira,,[Music],[]
Ice Cube,,"[Acting,Music]",[]
George W. Bush,,[Presidents],[]
Stevie Wonder,,[Music],[]
Bernie Sanders,,[Politics],[]
Jimmy Kimmel,,"[Acting,Comedy]",[]
Vladimir Putin,,[Politics],[]
Chris Rock,,"[Acting,Comedy]",[]
Mark Zuckerberg,,"[Tech,Wealth]",[]
Jimmy Fallon,,"[Acting,Comedy]",[]
Tim Allen,,[Acting],[]
Keanu Reeves,,[Acting],[]
Danny DeVito,,"[Acting,Comedy]",[]
Whoopi Goldberg,,"[Acting,Comedy]",[]
Alec Baldwin,,[Acting],[]
Pope Francis I,,[Politics],[]
Justin Tiberlake,,[Music],[]
Jackie Chan,,"[Acting,Sports]",[]
Jim Carrey,,"[Acting,Comedy]",[]
Morgan Freeman,,[Acting],[]
Adam Sandler,,"[Acting,Comedy]",[]
Hillary Clinton,,[Politics],[]
Bill Gates,,"[Wealth,Tech]",[]
Michelle Obama,,[Politics],[]
Will Smith,,[Acting],[]
Jacksepticeye,,[Influencers],[]
Shane Dawson,,[Influencers],[]
Logan Paul,,[Influencers],[]
Jake Paul,,[Influencers],[]
Lele Pons,,[Influencers],[]
Jo Jo Swia,,[Influencers],[]
James Charles,,[Influencers],[]
Dixie D’Amelio,,[Influencers],[]
Bella Poarch,,[Influencers],[]
Addison Rae,,[Acting],[]
Charli D’Amelio,,[Influencers],[]
Markiplier,,[Influencers],[]
Mr. Beast,,[Influencers],[]
Pewdiepie,,[Influencers],[]
Selena Gomez,,"[Music,Acting]",[]
Sal Khan,,[Influencers],[]
Tim Cook,,[Tech],[]
Jeff Bezos,,"[Tech,Wealth]",[]
Elon Musk,,"[Wealth,Tech]",[]
Prince,,[Music],[]
Arnold Schwarzenegger,,"[Acting,Politics,Sports]",[]
Mike Tyson,,[Sports],[]
Bill Cosby,,"[Canceled,Comedy]",[]
Kanye West,,[Music],[]
Kylie Jenner,,[Influencers],[]
Ed Sheeran,,[Music],[]
Dwayne Johnson,,"[Acting,Sports,Music]",[]
Drake,,[Music],[]
Adele,,[Music],[]
Kevin Hart,,"[Acting,Comedy]",[]
Robert Downey Jr.,,[Acting],[]
Dr. Dre,,[Music],[]
Ellen DeGeneres,,"[Acting,Comedy]",[]
Katy Perry,,[Music],[]
Kim Kardashian,,"[Influencers,Wealth]",[]
LeBron James,,[Sports],[]
Simon Cowell,,[Acting],[]
Justin Bieber,,[Music],[]
Lady Gaga,,[Music],[]
Kobe Bryant,,[Sports],[]
Beyoncé,,[Music],[]
Jay-Z,,[Music],[]
Brad Pitt,,[Acting],[]
Dan Brown,,[Writers],[]
50 Cent,,[Music],[]
Elton John,,[Music],[]
Shaquille O’Neal,,"[Sports,Influencers]",[]
Johnny Depp,,[Acting],[]
J.K. Rowling,,[Writers],[]
Ben Affleck,,[Acting],[]
Jennifer Lopez,,[Music],[]
Jennifer Aniston,,[Acting],[]
Mariah Carey,,[Music],[]
Mel Gibson,,[Acting],[]
Britney Spears,,[Music],[]
Tom Cruise,,[Acting],[]
Tiger Woods,,[Sports],[]
Tom Hanks,,[Acting],[]
Steven Spielberg,,[Acting],[]
Jerry Seinfeld,,[Acting],[]
Leonardo DiCaprio,,[Acting],[]
Oprah Winfrey,,[Influencers],[]
Joe Biden,,[Presidents],[]
Martin Luther King Jr.,,"[Influencers,Historical,Writers]",[]
Albert Einstein,,"[Historical,Scientists]",[]
John D. Rockefeller,,"[Historical,Wealth]",[]
Julius Caesar,,[Historical],[]
Andrew Carnegie,,"[Historical,Wealth]",[]
Rihanna,,[Music],[]
Kendrick Lamar,,[Music],[]
Greta Thunberg,,[Influencers],[]
Barack Obama,,[Presidents],[]
Amelia Earhart,,[Historical],[]
Frederick Douglass,,"[Historical,Writers]",[]
Taylor Swift,,[Music],[]
Bruce Lee,,[Acting],[]
Michael Jordan,,[Sports],[]
Babe Ruth,,[Sports],[]
Dolly the Sheep,,[Other],[]
Kim Jong-un,,[Politics],[]
Richard Nixon,,[Presidents],[]
Saddam Hussein,,"[Historical,Politics]",[]
Al Capone,,"[Historical,Wealth]",[]
William Shakespeare,,"[Writers,Acting,Historical]",[]
Michael Jackson,,[Music],[]
Elvis Presley,,[Music],[]
Franklin D. Roosevelt,,[Presidents],[]
Galileo Galilei,,"[Historical,Scientists]",[]
Eminem,,[Music],[]
John Lennon,,[Music],[]
Abraham Lincoln,,"[Presidents,Historical]",[]
Dwight D. Eisenhower,,[Presidents],[]
Thomas Edison,,[Historical],[]
John F. Kennedy,,[Presidents],[]
