Name,Height,Image,Category,Source
Neil deGrasse Tyson,188,https://www.celebheights.com/tr/n/neildegrassetyson.jpg,"[Scientists,Influencers]",[Celeb Heights]
Stephen King,192,https://www.celebheights.com/tr/s/stephenking.jpg,[Writers],[Celeb Heights]
John Cena,184,https://www.celebheights.com/tr/j/johncena.jpg,"[Acting,Sports]",[Celeb Heights]
Morgan Freeman,189,https://www.celebheights.com/tr/m/morganfreeman.jpg,[Acting],[Celeb Heights]
Adam Sandler,177,https://www.celebheights.com/tr/a/adamsandler.jpg,"[Acting,Comedy]",[Celeb Heights]
Bill Gates,177,https://www.celebheights.com/tr/b/billgates.jpg,"[Wealth,Tech]",[Celeb Heights]
Will Smith,187,https://www.celebheights.com/tr/w/willsmith.jpg,[Acting],[Celeb Heights]
Jake Paul,180,https://www.celebheights.com/tr/j/jakepaul.jpg,[Influencers],[Celeb Heights]
Charli D’Amelio,160,https://www.celebheights.com/tr/c/charlidamelio.jpg,[Influencers],[Celeb Heights]
Elon Musk,187,https://www.celebheights.com/tr/e/elonmusk.jpg,"[Wealth,Tech]",[Celeb Heights]
Arnold Schwarzenegger,187,https://www.celebheights.com/tr/a/arnoldschwarzenegger.jpg,"[Acting,Politics,Sports]",[Celeb Heights]
Bill Cosby,183,https://www.celebheights.com/tr/b/billcosby.jpg,"[Canceled,Comedy]",[Celeb Heights]
Kevin Hart,159,https://www.celebheights.com/tr/k/kevinhart.jpg,"[Acting,Comedy]",[Celeb Heights]
Robert Downey Jr.,172,https://www.celebheights.com/tr/r/robertdowneyjr.jpg,[Acting],[Celeb Heights]
J.K. Rowling,163,https://www.celebheights.com/tr/j/jkrowling.jpg,[Writers],[Celeb Heights]
Tom Cruise,172,https://www.celebheights.com/tr/t/tomcruise.jpg,[Acting],[Celeb Heights]
Albert Einstein,171,https://www.celebheights.com/tr/a/alberteinstein.jpg,"[Historical,Scientists]",[Celeb Heights]
Saddam Hussein,184,https://www.celebheights.com/tr/s/saddamhussein.jpg,"[Historical,Politics]",[Celeb Heights]
John F. Kennedy,182,https://www.celebheights.com/tr/j/johnfkennedy.jpg,[Presidents],[Celeb Heights]
Donald Trump,188,https://www.celebheights.com/tr/d/donaldtrump.jpg,[Presidents],[Celeb Heights]
Queen Elizabeth II,162,https://www.celebheights.com/tr/q/queenelizabethii.jpg,"[Historical,Politics]",[Celeb Heights]
Steve Jobs,183,https://www.celebheights.com/tr/s/stevejobs.jpg,"[Tech,Wealth]",[Celeb Heights]
Mahatma Gandhi,163,https://www.celebheights.com/tr/m/mahatmagandhi.jpg,[Historical],[Celeb Heights]
