ID,Name,Height,Image,Category,Source
2,Henry VIII,187,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Hans_Holbein_d._J._074.jpg/250px-Hans_Holbein_d._J._074.jpg,[Historical],[Google]
4,George Washington,187,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg/198px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg,"[Presidents,Historical]",[Wikipedia]
5,Mahatma Gandhi,163,https://www.celebheights.com/tr/m/mahatmagandhi.jpg,[Historical],[Celeb Heights]
6,Joseph Stalin,168,https://www.celebheights.com/tr/j/josephstalin.jpg,"[Historical,Politics]",[Celeb Heights]
7,Steve Jobs,183,https://www.celebheights.com/tr/s/stevejobs.jpg,"[Tech,Wealth]",[Celeb Heights]
8,Queen Elizabeth II,162,https://www.celebheights.com/tr/q/queenelizabethii.jpg,"[Historical,Politics]",[Celeb Heights]
9,Christopher Columbus,183,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/CristobalColon.jpg/250px-CristobalColon.jpg,[Historical],[IMDb]
10,Donald Trump,188,https://www.celebheights.com/tr/d/donaldtrump.jpg,[Presidents],[Celeb Heights]
11,John F. Kennedy,182,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/John_F._Kennedy%2C_White_House_color_photo_portrait.jpg/250px-John_F._Kennedy%2C_White_House_color_photo_portrait.jpg,[Presidents],[Celeb Heights]
13,Dwight D. Eisenhower,179,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Dwight_D_Eisenhower_%28cropped%29.jpg/640px-Dwight_D_Eisenhower_%28cropped%29.jpg,[Presidents],[Wikipedia]
14,Abraham Lincoln,192,https://www.celebheights.com/tr/a/abrahamlincoln.jpg,"[Presidents,Historical]",[Celeb Heights]
15,John Lennon,178,https://www.celebheights.com/tr/j/johnlennon.jpg,[Music],[Celeb Heights]
16,Eminem,172,https://www.celebheights.com/tr/e/eminem.jpg,[Music],[Celeb Heights]
17,Galileo Galilei,,,"[Historical,Scientists]",[]
18,Franklin D. Roosevelt,184,https://www.celebheights.com/tr/f/franklindroosevelt.jpg,[Presidents],[Celeb Heights]
19,Elvis Presley,182,https://www.celebheights.com/tr/e/elvispresley.jpg,[Music],[Celeb Heights]
20,Michael Jackson,175,https://www.celebheights.com/tr/m/michaeljackson.jpg,[Music],[Celeb Heights]
21,William Shakespeare,172,https://upload.wikimedia.org/wikipedia/commons/b/bb/William_shakespeare_dm.jpg?20080217075856,"[Writers,Acting,Historical]",[IMDb]
22,Al Capone,179,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Al_Capone_in_1929.jpg/203px-Al_Capone_in_1929.jpg,"[Historical,Wealth]",[IMDb]
23,Saddam Hussein,184,https://www.celebheights.com/tr/s/saddamhussein.jpg,"[Historical,Politics]",[Celeb Heights]
24,Richard Nixon,179,https://www.celebheights.com/tr/r/richardnixon.jpg,[Presidents],[Celeb Heights]
25,Kim Jong-un,169,https://www.celebheights.com/tr/k/kimjongun.jpg,[Politics],[Celeb Heights]
26,Dolly the Sheep,65,https://source.colostate.edu/wp-content/uploads/2017/02/DollySquarejpg-e1487354632788.jpg,[Other],[Google]
27,Babe Ruth,187,https://www.celebheights.com/tr/b/baberuth.jpg,[Sports],[Celeb Heights]
28,Michael Jordan,195,https://www.celebheights.com/tr/m/michaeljordan.jpg,[Sports],[Celeb Heights]
29,Bruce Lee,171,https://www.celebheights.com/tr/b/brucelee.jpg,[Acting],[Celeb Heights]
30,Taylor Swift,176,https://www.celebheights.com/tr/t/taylorswift.jpg,[Music],[Celeb Heights]
31,Frederick Douglass,182,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Frederick_Douglass_c1860s.jpg/250px-Frederick_Douglass_c1860s.jpg,"[Historical,Writers]",[IMDb]
32,Amelia Earhart,173,https://upload.wikimedia.org/wikipedia/commons/7/79/Amelia_Earhart_1928_%28cropped%29.jpg,[Historical],[Google]
33,Barack Obama,185,https://www.celebheights.com/tr/b/barackobama.jpg,[Presidents],[Celeb Heights]
34,Greta Thunberg,149,https://www.celebheights.com/tr/g/gretathunberg.jpg,[Influencers],[Celeb Heights]
35,Kendrick Lamar,164,https://www.celebheights.com/tr/k/kendricklamar.jpg,[Music],[Celeb Heights]
36,Rihanna,173,https://www.celebheights.com/tr/r/rihanna.jpg,[Music],[Celeb Heights]
37,Andrew Carnegie,160,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Andrew_Carnegie%2C_three-quarter_length_portrait%2C_seated%2C_facing_slightly_left%2C_1913-crop.jpg/250px-Andrew_Carnegie%2C_three-quarter_length_portrait%2C_seated%2C_facing_slightly_left%2C_1913-crop.jpg,"[Historical,Wealth]",[IMDb]
38,Julius Caesar,,,[Historical],[]
39,John D. Rockefeller,180,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Portrait_of_J._D._Rockefeller_%28cropped%29.jpg/250px-Portrait_of_J._D._Rockefeller_%28cropped%29.jpg,"[Historical,Wealth]",[IMDb]
40,Albert Einstein,171,https://www.celebheights.com/tr/a/alberteinstein.jpg,"[Historical,Scientists]",[Celeb Heights]
41,Martin Luther King Jr.,169,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Martin_Luther_King%2C_Jr..jpg/250px-Martin_Luther_King%2C_Jr..jpg,"[Influencers,Historical,Writers]",[Celeb Heights]
42,Joe Biden,184,https://www.celebheights.com/tr/j/joebiden.jpg,[Presidents],[Celeb Heights]
43,Oprah Winfrey,168,https://www.celebheights.com/tr/o/oprahwinfrey.jpg,[Influencers],[Celeb Heights]
44,Leonardo DiCaprio,181,https://www.celebheights.com/tr/l/leonardodicaprio.jpg,[Acting],[Celeb Heights]
45,Jerry Seinfeld,180,https://www.celebheights.com/tr/j/jerryseinfeld.jpg,[Acting],[Celeb Heights]
46,Steven Spielberg,171,https://www.celebheights.com/tr/s/stevenspielberg.jpg,[Filmmakers],[Celeb Heights]
47,Tom Hanks,183,https://www.celebheights.com/tr/t/tomhanks.jpg,[Acting],[Celeb Heights]
48,Tiger Woods,183,https://www.celebheights.com/tr/t/tigerwoods.jpg,[Sports],[Celeb Heights]
49,Tom Cruise,172,https://www.celebheights.com/tr/t/tomcruise.jpg,[Acting],[Celeb Heights]
50,Britney Spears,163,https://www.celebheights.com/tr/b/britneyspears.jpg,[Music],[Celeb Heights]
51,Mel Gibson,177,https://www.celebheights.com/tr/m/melgibson.jpg,[Acting],[Celeb Heights]
52,Mariah Carey,170,https://www.celebheights.com/tr/m/mariahcarey.jpg,[Music],[Celeb Heights]
53,Jennifer Aniston,164,https://www.celebheights.com/tr/j/jenniferaniston.jpg,[Acting],[Celeb Heights]
54,Jennifer Lopez,164,https://www.celebheights.com/tr/j/jenniferlopez.jpg,[Music],[Celeb Heights]
55,Ben Affleck,189,https://www.celebheights.com/tr/b/benaffleck.jpg,[Acting],[Celeb Heights]
56,J.K. Rowling,163,https://www.celebheights.com/tr/j/jkrowling.jpg,[Writers],[Celeb Heights]
57,Johnny Depp,175,https://www.celebheights.com/tr/j/johnnydepp.jpg,[Acting],[Celeb Heights]
58,Shaquille O'Neal,,,"[Sports,Influencers]",[]
59,Elton John,171,https://www.celebheights.com/tr/e/eltonjohn.jpg,[Music],[Celeb Heights]
60,Curtis Jackson 50 Cent,,,[Music],[]
61,Dan Brown,175,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Dan_Brown_November_2015.jpg/250px-Dan_Brown_November_2015.jpg,[Writers],[IMDb]
62,Brad Pitt,180,https://www.celebheights.com/tr/b/bradpitt.jpg,[Acting],[Celeb Heights]
63,Jay-Z,187,https://www.celebheights.com/tr/j/jayz.jpg,[Music],[Celeb Heights]
64,Beyonce Knowles,,,[Music],[]
65,Kobe Bryant,195,https://www.celebheights.com/tr/k/kobebryant.jpg,[Sports],[Celeb Heights]
66,Lady Gaga,156,https://www.celebheights.com/tr/l/ladygaga.jpg,[Music],[Celeb Heights]
67,Justin Bieber,171,https://www.celebheights.com/tr/j/justinbieber.jpg,[Music],[Celeb Heights]
68,Simon Cowell,173,https://www.celebheights.com/tr/s/simoncowell.jpg,[Acting],[Celeb Heights]
69,LeBron James,202,https://www.celebheights.com/tr/l/lebronjames.jpg,[Sports],[Celeb Heights]
70,Kim Kardashian,157,https://www.celebheights.com/tr/k/kimkardashian.jpg,"[Influencers,Wealth]",[Celeb Heights]
71,Katy Perry,170,https://www.celebheights.com/tr/k/katyperry.jpg,[Music],[Celeb Heights]
72,Ellen DeGeneres,170,https://www.celebheights.com/tr/e/ellendegeneres.jpg,"[Acting,Comedy]",[Celeb Heights]
73,Dr. Dre,184,https://www.celebheights.com/tr/d/drdre.jpg,[Music],[Celeb Heights]
