ID,Name,Height,Image,Category,Source
5,Mahatma Gandhi,163,https://www.celebheights.com/tr/m/mahatmagandhi.jpg,[Historical],[Celeb Heights]
6,Joseph Stalin,168,https://www.celebheights.com/tr/j/josephstalin.jpg,"[Historical,Politics]",[Celeb Heights]
7,Steve Jobs,183,https://www.celebheights.com/tr/s/stevejobs.jpg,"[Tech,Wealth]",[Celeb Heights]
8,Queen Elizabeth II,162,https://www.celebheights.com/tr/q/queenelizabethii.jpg,"[Historical,Politics]",[Celeb Heights]
10,Donald Trump,188,https://www.celebheights.com/tr/d/donaldtrump.jpg,[Presidents],[Celeb Heights]
11,John F. Kennedy,182,https://www.celebheights.com/tr/j/johnfkennedy.jpg,[Presidents],[Celeb Heights]
14,Abraham Lincoln,192,https://www.celebheights.com/tr/a/abrahamlincoln.jpg,"[Presidents,Historical]",[Celeb Heights]
15,John Lennon,178,https://www.celebheights.com/tr/j/johnlennon.jpg,[Music],[Celeb Heights]
16,Eminem,172,https://www.celebheights.com/tr/e/eminem.jpg,[Music],[Celeb Heights]
18,Franklin D. Roosevelt,184,https://www.celebheights.com/tr/f/franklindroosevelt.jpg,[Presidents],[Celeb Heights]
19,Elvis Presley,182,https://www.celebheights.com/tr/e/elvispresley.jpg,[Music],[Celeb Heights]
20,Michael Jackson,175,https://www.celebheights.com/tr/m/michaeljackson.jpg,[Music],[Celeb Heights]
23,Saddam Hussein,184,https://www.celebheights.com/tr/s/saddamhussein.jpg,"[Historical,Politics]",[Celeb Heights]
24,Richard Nixon,179,https://www.celebheights.com/tr/r/richardnixon.jpg,[Presidents],[Celeb Heights]
25,Kim Jong-un,169,https://www.celebheights.com/tr/k/kimjongun.jpg,[Politics],[Celeb Heights]
26,Dolly the Sheep,65,https://source.colostate.edu/wp-content/uploads/2017/02/DollySquarejpg-e1487354632788.jpg,[Other],[Google]
27,Babe Ruth,187,https://www.celebheights.com/tr/b/baberuth.jpg,[Sports],[Celeb Heights]
28,Michael Jordan,195,https://www.celebheights.com/tr/m/michaeljordan.jpg,[Sports],[Celeb Heights]
29,Bruce Lee,171,https://www.celebheights.com/tr/b/brucelee.jpg,[Acting],[Celeb Heights]
30,Taylor Swift,176,https://www.celebheights.com/tr/t/taylorswift.jpg,[Music],[Celeb Heights]
